user_id,user_profile
97,female clerical/admin between 35 to 44 years of age
98,female executive/managerial between 35 to 44 years of age
99,female k-12 student under 18 years of age
100,male technician/engineer between 35 to 44 years of age
101,female clerical/admin between 18 to 24 years of age
102,male unemployed between 35 to 44 years of age
103,male executive/managerial between 45 to 49 years of age
104,male programmer between 25 to 34 years of age
105,male programmer between 45 to 49 years of age
106,female lawyer between 35 to 44 years of age
107,male tradesman/craftsman between 45 to 49 years of age
108,male programmer between 25 to 34 years of age
109,male scientist between 45 to 49 years of age
110,male artist between 25 to 34 years of age
111,male scientist between 35 to 44 years of age
112,male self-employed between 25 to 34 years of age
113,male programmer between 18 to 24 years of age
114,female artist between 25 to 34 years of age
115,male technician/engineer between 25 to 34 years of age
116,male technician/engineer between 25 to 34 years of age
117,male technician/engineer between 25 to 34 years of age
118,male technician/engineer between 35 to 44 years of age
119,female k-12 student under 18 years of age
120,male lawyer between 25 to 34 years of age
121,male executive/managerial between 35 to 44 years of age
122,female college/grad student between 18 to 24 years of age
123,male homemaker between 35 to 44 years of age
124,male executive/managerial above 56 years of age
125,male sales/marketing between 45 to 49 years of age
126,male homemaker between 18 to 24 years of age
127,female clerical/admin between 45 to 49 years of age
128,male doctor/health care above 56 years of age
129,male lawyer between 25 to 34 years of age
130,male technician/engineer between 35 to 44 years of age
131,male college/grad student between 18 to 24 years of age
132,male technician/engineer between 25 to 34 years of age
133,female unknown between 25 to 34 years of age
134,male unknown between 25 to 34 years of age
135,male college/grad student between 18 to 24 years of age
136,male artist between 18 to 24 years of age
137,female doctor/health care between 45 to 49 years of age
138,male writer between 18 to 24 years of age
139,female writer between 25 to 34 years of age
140,female academic/educator between 35 to 44 years of age
141,male retired between 35 to 44 years of age
142,male executive/managerial between 25 to 34 years of age
143,male clerical/admin between 18 to 24 years of age
144,male technician/engineer between 25 to 34 years of age
145,male college/grad student between 18 to 24 years of age
146,female writer between 35 to 44 years of age
147,male college/grad student between 18 to 24 years of age
148,male technician/engineer between 50 to 55 years of age
149,male academic/educator between 25 to 34 years of age
150,male executive/managerial between 35 to 44 years of age
151,female writer between 25 to 34 years of age
152,male college/grad student between 18 to 24 years of age
153,male k-12 student under 18 years of age
154,male writer between 50 to 55 years of age
155,male programmer between 35 to 44 years of age
156,female executive/managerial between 45 to 49 years of age
157,male self-employed between 35 to 44 years of age
158,male executive/managerial above 56 years of age
159,female unknown between 45 to 49 years of age
160,male executive/managerial between 35 to 44 years of age
161,male self-employed between 45 to 49 years of age
162,female college/grad student between 18 to 24 years of age
163,male college/grad student between 18 to 24 years of age
164,female retired above 56 years of age
165,male self-employed between 18 to 24 years of age
166,male college/grad student between 18 to 24 years of age
167,female lawyer between 25 to 34 years of age
168,female unknown between 50 to 55 years of age
169,male executive/managerial between 25 to 34 years of age
170,male lawyer between 25 to 34 years of age
171,female technician/engineer between 50 to 55 years of age
172,male clerical/admin between 25 to 34 years of age
173,male unknown between 25 to 34 years of age
174,male self-employed between 25 to 34 years of age
175,female artist between 25 to 34 years of age
176,female clerical/admin between 18 to 24 years of age
177,male academic/educator between 50 to 55 years of age
178,male technician/engineer above 56 years of age
179,male unknown between 25 to 34 years of age
180,male programmer between 45 to 49 years of age
181,male technician/engineer between 18 to 24 years of age
182,male college/grad student between 18 to 24 years of age
183,female academic/educator between 45 to 49 years of age
184,female unknown between 25 to 34 years of age
185,male unknown between 45 to 49 years of age
186,male customer service between 18 to 24 years of age
187,female academic/educator between 45 to 49 years of age
188,male self-employed above 56 years of age
189,male unknown between 18 to 24 years of age
190,male technician/engineer between 25 to 34 years of age
191,male college/grad student between 18 to 24 years of age
192,male academic/educator between 18 to 24 years of age
193,female scientist between 45 to 49 years of age
194,female k-12 student under 18 years of age
195,male programmer between 25 to 34 years of age
196,female homemaker between 35 to 44 years of age
197,male sales/marketing between 18 to 24 years of age
198,male programmer between 25 to 34 years of age
199,male college/grad student between 18 to 24 years of age
200,female college/grad student between 18 to 24 years of age
201,female artist between 35 to 44 years of age
202,male college/grad student between 18 to 24 years of age
203,female college/grad student between 18 to 24 years of age
204,male executive/managerial between 25 to 34 years of age
205,male programmer between 35 to 44 years of age
206,male technician/engineer between 25 to 34 years of age
207,male programmer between 25 to 34 years of age
208,male technician/engineer between 35 to 44 years of age
209,male academic/educator between 35 to 44 years of age
210,female k-12 student under 18 years of age
211,male technician/engineer between 45 to 49 years of age
212,male self-employed between 25 to 34 years of age
213,female college/grad student between 18 to 24 years of age
214,male writer between 18 to 24 years of age
215,male sales/marketing between 35 to 44 years of age
216,male retired between 45 to 49 years of age
217,male college/grad student between 18 to 24 years of age
218,male sales/marketing between 35 to 44 years of age
219,female college/grad student between 25 to 34 years of age
220,male programmer between 25 to 34 years of age
221,female unknown between 25 to 34 years of age
222,male academic/educator between 25 to 34 years of age
223,male technician/engineer between 25 to 34 years of age
224,female college/grad student between 18 to 24 years of age
225,male executive/managerial between 25 to 34 years of age
226,male academic/educator between 35 to 44 years of age
227,male writer between 35 to 44 years of age
228,male scientist between 25 to 34 years of age
229,male k-12 student between 18 to 24 years of age
230,male academic/educator between 45 to 49 years of age
231,male clerical/admin between 25 to 34 years of age
232,male writer between 25 to 34 years of age
233,female writer between 45 to 49 years of age
234,male executive/managerial between 35 to 44 years of age
235,male unknown between 25 to 34 years of age
236,male customer service between 25 to 34 years of age
237,male doctor/health care between 25 to 34 years of age
238,female executive/managerial between 50 to 55 years of age
239,male unemployed between 18 to 24 years of age
240,male technician/engineer between 50 to 55 years of age
241,male writer between 35 to 44 years of age
242,female college/grad student between 18 to 24 years of age
243,male self-employed between 25 to 34 years of age
244,male executive/managerial between 50 to 55 years of age
245,male self-employed between 35 to 44 years of age
246,female college/grad student between 18 to 24 years of age
247,male technician/engineer between 25 to 34 years of age
248,male technician/engineer between 18 to 24 years of age
249,female sales/marketing between 18 to 24 years of age
250,male self-employed between 35 to 44 years of age
251,male technician/engineer above 56 years of age
252,male programmer between 25 to 34 years of age
253,female lawyer between 25 to 34 years of age
254,male technician/engineer between 35 to 44 years of age
255,male unknown between 35 to 44 years of age
256,male self-employed between 45 to 49 years of age
257,male tradesman/craftsman between 18 to 24 years of age
258,male executive/managerial between 25 to 34 years of age
259,male academic/educator between 25 to 34 years of age
260,male unemployed between 18 to 24 years of age
261,male writer between 25 to 34 years of age
262,female academic/educator between 25 to 34 years of age
263,female executive/managerial between 25 to 34 years of age
264,male unknown between 35 to 44 years of age
265,female executive/managerial between 35 to 44 years of age
266,male lawyer between 35 to 44 years of age
267,male programmer between 45 to 49 years of age
268,female programmer between 18 to 24 years of age
269,male artist between 25 to 34 years of age
270,male sales/marketing between 50 to 55 years of age
271,male college/grad student between 18 to 24 years of age
272,male unknown between 18 to 24 years of age
273,male college/grad student between 18 to 24 years of age
274,male college/grad student between 18 to 24 years of age
275,male unknown between 25 to 34 years of age
276,male self-employed between 45 to 49 years of age
277,female academic/educator between 35 to 44 years of age
278,male tradesman/craftsman between 45 to 49 years of age
279,male sales/marketing between 25 to 34 years of age
280,male executive/managerial between 50 to 55 years of age
281,female unknown between 35 to 44 years of age
282,male technician/engineer between 25 to 34 years of age
283,male unknown between 25 to 34 years of age
284,male programmer between 25 to 34 years of age
285,female unknown between 35 to 44 years of age
286,male academic/educator between 25 to 34 years of age
287,male retired between 50 to 55 years of age
288,female programmer between 25 to 34 years of age
289,female unknown between 25 to 34 years of age
290,female writer between 25 to 34 years of age
291,male programmer between 35 to 44 years of age
292,male executive/managerial between 35 to 44 years of age
293,male academic/educator above 56 years of age
294,female homemaker between 45 to 49 years of age
295,male unknown between 18 to 24 years of age
296,male customer service between 50 to 55 years of age
297,male artist between 18 to 24 years of age
298,female college/grad student between 18 to 24 years of age
299,male programmer between 25 to 34 years of age
300,male executive/managerial between 25 to 34 years of age
301,male college/grad student between 18 to 24 years of age
302,male college/grad student between 18 to 24 years of age
303,male executive/managerial between 25 to 34 years of age
304,male unknown between 25 to 34 years of age
305,female unknown between 18 to 24 years of age
306,male unknown between 18 to 24 years of age
307,male self-employed between 50 to 55 years of age
308,male artist between 25 to 34 years of age
309,male college/grad student between 25 to 34 years of age
310,female college/grad student between 18 to 24 years of age
311,male college/grad student between 18 to 24 years of age
312,female artist between 50 to 55 years of age
313,female college/grad student between 18 to 24 years of age
314,female homemaker above 56 years of age
315,female academic/educator above 56 years of age
316,male retired above 56 years of age
317,male executive/managerial between 35 to 44 years of age
318,female retired above 56 years of age
319,female doctor/health care between 50 to 55 years of age
320,male doctor/health care between 35 to 44 years of age
321,male college/grad student between 18 to 24 years of age
322,male technician/engineer above 56 years of age
323,male programmer between 45 to 49 years of age
324,male technician/engineer between 35 to 44 years of age
325,female clerical/admin between 50 to 55 years of age
326,male lawyer between 50 to 55 years of age
327,male tradesman/craftsman between 35 to 44 years of age
328,male programmer between 35 to 44 years of age
329,male executive/managerial between 35 to 44 years of age
330,male executive/managerial above 56 years of age
331,male executive/managerial between 25 to 34 years of age
332,male academic/educator between 50 to 55 years of age
333,male artist between 35 to 44 years of age
334,female artist above 56 years of age
335,male tradesman/craftsman between 35 to 44 years of age
336,male unknown between 18 to 24 years of age
337,male unemployed between 18 to 24 years of age
338,male executive/managerial between 35 to 44 years of age
339,male executive/managerial between 50 to 55 years of age
340,female clerical/admin between 25 to 34 years of age
341,female retired above 56 years of age
342,male programmer between 18 to 24 years of age
343,female clerical/admin between 35 to 44 years of age
344,male sales/marketing between 35 to 44 years of age
345,male programmer between 25 to 34 years of age
346,female unknown between 25 to 34 years of age
347,female academic/educator above 56 years of age
348,male executive/managerial between 50 to 55 years of age
349,male k-12 student under 18 years of age
350,male writer between 45 to 49 years of age
351,male college/grad student between 18 to 24 years of age
352,male college/grad student between 18 to 24 years of age
353,female executive/managerial between 35 to 44 years of age
354,male academic/educator between 35 to 44 years of age
355,male clerical/admin between 18 to 24 years of age
356,male writer above 56 years of age
357,male unknown between 18 to 24 years of age
358,female academic/educator above 56 years of age
359,male technician/engineer between 25 to 34 years of age
360,male technician/engineer between 35 to 44 years of age
361,female sales/marketing between 25 to 34 years of age
362,male writer between 35 to 44 years of age
363,male k-12 student between 18 to 24 years of age
364,female academic/educator between 35 to 44 years of age
365,female college/grad student between 18 to 24 years of age
366,male scientist between 50 to 55 years of age
367,male programmer between 50 to 55 years of age
368,male unknown between 25 to 34 years of age
369,male academic/educator between 35 to 44 years of age
370,male technician/engineer between 18 to 24 years of age
371,male college/grad student between 18 to 24 years of age
372,female college/grad student between 18 to 24 years of age
373,female artist between 25 to 34 years of age
374,female sales/marketing between 35 to 44 years of age
375,male artist between 25 to 34 years of age
376,male academic/educator between 35 to 44 years of age
377,male technician/engineer between 25 to 34 years of age
378,female unknown between 18 to 24 years of age
379,female academic/educator between 35 to 44 years of age
380,male artist between 25 to 34 years of age
381,male technician/engineer between 35 to 44 years of age
382,female writer between 35 to 44 years of age
383,female executive/managerial between 25 to 34 years of age
384,male lawyer between 25 to 34 years of age
385,male doctor/health care between 25 to 34 years of age
386,male unknown between 25 to 34 years of age
387,female executive/managerial between 35 to 44 years of age
388,female unknown between 25 to 34 years of age
389,male doctor/health care between 25 to 34 years of age
390,male college/grad student between 25 to 34 years of age
391,male lawyer between 45 to 49 years of age
392,male executive/managerial between 18 to 24 years of age
393,male technician/engineer between 35 to 44 years of age
394,male unknown between 18 to 24 years of age
395,male customer service between 18 to 24 years of age
396,male academic/educator between 25 to 34 years of age
397,male technician/engineer between 35 to 44 years of age
398,male technician/engineer between 25 to 34 years of age
399,female doctor/health care between 35 to 44 years of age
400,female clerical/admin between 18 to 24 years of age
401,male unknown between 18 to 24 years of age
402,male lawyer between 25 to 34 years of age
403,male college/grad student between 18 to 24 years of age
404,male college/grad student between 18 to 24 years of age
405,male academic/educator above 56 years of age
406,male writer between 25 to 34 years of age
407,male technician/engineer between 18 to 24 years of age
408,male lawyer between 25 to 34 years of age
409,male programmer between 18 to 24 years of age
410,female academic/educator between 25 to 34 years of age
411,female academic/educator between 45 to 49 years of age
412,male scientist between 35 to 44 years of age
413,male lawyer between 25 to 34 years of age
414,male unknown between 25 to 34 years of age
415,female unknown between 35 to 44 years of age
416,male sales/marketing between 45 to 49 years of age
417,female unknown between 25 to 34 years of age
418,female clerical/admin between 25 to 34 years of age
419,male clerical/admin between 18 to 24 years of age
420,male academic/educator between 35 to 44 years of age
421,female clerical/admin between 45 to 49 years of age
422,male technician/engineer above 56 years of age
423,male college/grad student between 18 to 24 years of age
424,male technician/engineer between 25 to 34 years of age
425,male programmer between 25 to 34 years of age
426,male college/grad student between 18 to 24 years of age
427,male programmer between 35 to 44 years of age
428,female college/grad student between 18 to 24 years of age
429,male unknown between 18 to 24 years of age
430,female k-12 student between 18 to 24 years of age
431,male k-12 student between 18 to 24 years of age
432,male self-employed between 45 to 49 years of age
433,male doctor/health care between 50 to 55 years of age
434,female clerical/admin between 45 to 49 years of age
435,male executive/managerial between 25 to 34 years of age
436,male college/grad student between 18 to 24 years of age
437,male technician/engineer between 35 to 44 years of age
438,male lawyer between 18 to 24 years of age
439,male sales/marketing between 35 to 44 years of age
440,male academic/educator above 56 years of age
441,male academic/educator between 35 to 44 years of age
442,male academic/educator between 25 to 34 years of age
443,male clerical/admin between 25 to 34 years of age
444,male unknown above 56 years of age
445,male programmer between 45 to 49 years of age
446,female unknown between 50 to 55 years of age
447,female lawyer between 45 to 49 years of age
448,male technician/engineer between 25 to 34 years of age
449,male executive/managerial between 25 to 34 years of age
450,male academic/educator between 45 to 49 years of age
451,male retired above 56 years of age
452,male technician/engineer between 50 to 55 years of age
453,male college/grad student between 18 to 24 years of age
454,male writer between 25 to 34 years of age
455,female artist between 35 to 44 years of age
456,male unknown between 35 to 44 years of age
457,male college/grad student between 18 to 24 years of age
458,male self-employed between 50 to 55 years of age
459,female college/grad student between 18 to 24 years of age
460,male tradesman/craftsman between 45 to 49 years of age
461,male executive/managerial between 50 to 55 years of age
462,male self-employed between 18 to 24 years of age
463,male executive/managerial between 25 to 34 years of age
464,female college/grad student between 18 to 24 years of age
465,male unemployed between 18 to 24 years of age
466,male customer service between 25 to 34 years of age
467,female clerical/admin between 35 to 44 years of age
468,female k-12 student under 18 years of age
469,male doctor/health care between 35 to 44 years of age
470,female k-12 student under 18 years of age
471,male executive/managerial between 35 to 44 years of age
472,male unknown between 35 to 44 years of age
473,female college/grad student between 18 to 24 years of age
474,male technician/engineer between 25 to 34 years of age
475,female artist between 25 to 34 years of age
476,male unknown between 35 to 44 years of age
477,male sales/marketing between 35 to 44 years of age
478,male self-employed between 50 to 55 years of age
479,male programmer between 25 to 34 years of age
480,female college/grad student between 18 to 24 years of age
481,male executive/managerial between 45 to 49 years of age
482,male sales/marketing between 25 to 34 years of age
483,male programmer between 18 to 24 years of age
484,female k-12 student under 18 years of age
485,male executive/managerial above 56 years of age
486,male unknown above 56 years of age
487,female technician/engineer between 35 to 44 years of age
488,male programmer between 25 to 34 years of age
489,male college/grad student between 18 to 24 years of age
490,male k-12 student under 18 years of age
491,male college/grad student between 18 to 24 years of age
492,male programmer between 25 to 34 years of age
493,male executive/managerial between 50 to 55 years of age
494,female unknown between 35 to 44 years of age
495,male k-12 student between 18 to 24 years of age
496,male college/grad student between 18 to 24 years of age
497,female technician/engineer between 25 to 34 years of age
498,male technician/engineer between 35 to 44 years of age
499,female academic/educator between 25 to 34 years of age
500,female artist between 18 to 24 years of age
501,male artist between 25 to 34 years of age
502,male doctor/health care between 35 to 44 years of age
503,male lawyer between 35 to 44 years of age
504,male artist between 25 to 34 years of age
505,male technician/engineer between 35 to 44 years of age
506,male self-employed between 25 to 34 years of age
507,female unknown between 25 to 34 years of age
508,male programmer between 25 to 34 years of age
509,male artist between 25 to 34 years of age
510,male programmer between 18 to 24 years of age
511,female college/grad student between 45 to 49 years of age
512,male unknown between 35 to 44 years of age
513,male unknown between 25 to 34 years of age
514,male artist between 25 to 34 years of age
515,male academic/educator between 25 to 34 years of age
516,female sales/marketing above 56 years of age
517,female sales/marketing between 25 to 34 years of age
518,female programmer between 35 to 44 years of age
519,female sales/marketing between 35 to 44 years of age
520,female writer between 35 to 44 years of age
521,male executive/managerial above 56 years of age
522,male programmer between 25 to 34 years of age
523,male executive/managerial between 50 to 55 years of age
524,male unknown between 18 to 24 years of age
525,male doctor/health care between 35 to 44 years of age
526,male technician/engineer between 45 to 49 years of age
527,female artist between 25 to 34 years of age
528,female technician/engineer between 18 to 24 years of age
529,male programmer between 35 to 44 years of age
530,male artist between 25 to 34 years of age
531,female sales/marketing between 18 to 24 years of age
532,male executive/managerial between 25 to 34 years of age
533,male programmer between 25 to 34 years of age
534,male scientist between 25 to 34 years of age
535,male doctor/health care between 35 to 44 years of age
536,male writer between 25 to 34 years of age
537,male sales/marketing between 45 to 49 years of age
538,male self-employed above 56 years of age
539,male artist between 25 to 34 years of age
540,male academic/educator between 18 to 24 years of age
541,female college/grad student between 18 to 24 years of age
542,male college/grad student between 18 to 24 years of age
543,male customer service between 25 to 34 years of age
544,male programmer between 35 to 44 years of age
545,male technician/engineer between 35 to 44 years of age
546,female unknown between 25 to 34 years of age
547,male programmer between 35 to 44 years of age
548,female self-employed between 35 to 44 years of age
549,male doctor/health care between 25 to 34 years of age
550,male farmer between 45 to 49 years of age
551,male writer between 35 to 44 years of age
552,male tradesman/craftsman between 50 to 55 years of age
553,male artist between 25 to 34 years of age
554,male programmer between 25 to 34 years of age
555,male college/grad student between 18 to 24 years of age
556,female homemaker between 25 to 34 years of age
557,male academic/educator above 56 years of age
558,male writer between 35 to 44 years of age
559,female executive/managerial between 25 to 34 years of age
560,male scientist between 45 to 49 years of age
561,female sales/marketing between 18 to 24 years of age
562,male writer between 35 to 44 years of age
563,male college/grad student between 25 to 34 years of age
564,male academic/educator between 45 to 49 years of age
565,male self-employed between 25 to 34 years of age
566,male technician/engineer between 25 to 34 years of age
567,male writer between 35 to 44 years of age
568,female technician/engineer between 50 to 55 years of age
569,female college/grad student between 18 to 24 years of age
570,male college/grad student between 25 to 34 years of age
571,male customer service between 50 to 55 years of age
572,male college/grad student between 18 to 24 years of age
573,female artist between 35 to 44 years of age
574,male unemployed between 25 to 34 years of age
575,male programmer between 25 to 34 years of age
576,female scientist between 45 to 49 years of age
577,male unknown between 35 to 44 years of age
578,male technician/engineer between 18 to 24 years of age
579,male customer service between 25 to 34 years of age
580,male k-12 student under 18 years of age
581,male sales/marketing between 50 to 55 years of age
582,male college/grad student between 18 to 24 years of age
583,female unknown between 25 to 34 years of age
584,female unknown between 25 to 34 years of age
585,male academic/educator between 18 to 24 years of age
586,male sales/marketing between 35 to 44 years of age
587,male writer between 25 to 34 years of age
588,female lawyer between 25 to 34 years of age
589,male artist between 18 to 24 years of age
590,female doctor/health care between 35 to 44 years of age
591,male unknown between 25 to 34 years of age
592,male unknown between 18 to 24 years of age
593,female academic/educator between 50 to 55 years of age
594,female retired above 56 years of age
595,male executive/managerial between 25 to 34 years of age
596,female academic/educator between 25 to 34 years of age
597,male programmer between 35 to 44 years of age
598,male executive/managerial between 35 to 44 years of age
599,male doctor/health care between 50 to 55 years of age
600,male technician/engineer between 35 to 44 years of age
601,female writer between 18 to 24 years of age
602,female doctor/health care above 56 years of age
603,female doctor/health care between 25 to 34 years of age
604,male technician/engineer between 45 to 49 years of age
605,female college/grad student between 18 to 24 years of age
606,female k-12 student under 18 years of age
607,male unknown between 25 to 34 years of age
608,male college/grad student between 18 to 24 years of age
609,male executive/managerial between 25 to 34 years of age
610,male college/grad student between 25 to 34 years of age
611,male unknown between 35 to 44 years of age
612,male executive/managerial between 50 to 55 years of age
613,male writer between 35 to 44 years of age
614,male academic/educator between 35 to 44 years of age
615,male technician/engineer between 50 to 55 years of age
616,male executive/managerial between 25 to 34 years of age
617,female executive/managerial between 25 to 34 years of age
618,male unknown between 25 to 34 years of age
619,female academic/educator between 18 to 24 years of age
620,male unknown between 18 to 24 years of age
621,male college/grad student between 18 to 24 years of age
622,male unknown between 25 to 34 years of age
623,male technician/engineer between 25 to 34 years of age
624,male academic/educator between 25 to 34 years of age
625,female programmer between 35 to 44 years of age
626,male college/grad student between 18 to 24 years of age
627,male artist between 50 to 55 years of age
628,female unknown between 35 to 44 years of age
629,female k-12 student under 18 years of age
630,female sales/marketing between 35 to 44 years of age
631,male technician/engineer between 35 to 44 years of age
632,male technician/engineer between 45 to 49 years of age
633,male technician/engineer between 25 to 34 years of age
634,female k-12 student under 18 years of age
635,male technician/engineer above 56 years of age
636,male writer between 18 to 24 years of age
637,male programmer between 35 to 44 years of age
638,male doctor/health care between 25 to 34 years of age
639,male technician/engineer between 45 to 49 years of age
640,male college/grad student between 18 to 24 years of age
641,female unknown between 35 to 44 years of age
642,female academic/educator between 35 to 44 years of age
643,male artist between 25 to 34 years of age
644,male writer between 25 to 34 years of age
645,male writer between 35 to 44 years of age
646,male executive/managerial between 35 to 44 years of age
647,male programmer between 35 to 44 years of age
648,female programmer between 25 to 34 years of age
649,male college/grad student between 25 to 34 years of age
650,male technician/engineer between 25 to 34 years of age
651,male executive/managerial between 35 to 44 years of age
652,male writer between 18 to 24 years of age
653,male retired above 56 years of age
654,male executive/managerial between 50 to 55 years of age
655,female artist between 25 to 34 years of age
656,female self-employed between 45 to 49 years of age
657,female retired between 50 to 55 years of age
658,female unknown between 25 to 34 years of age
659,female unknown between 25 to 34 years of age
660,male self-employed between 45 to 49 years of age
661,male academic/educator between 45 to 49 years of age
662,male college/grad student between 18 to 24 years of age
663,female executive/managerial between 25 to 34 years of age
664,male tradesman/craftsman between 35 to 44 years of age
665,male artist between 18 to 24 years of age
666,female unknown between 18 to 24 years of age
667,male tradesman/craftsman between 25 to 34 years of age
668,female clerical/admin between 25 to 34 years of age
669,male technician/engineer between 25 to 34 years of age
670,male programmer between 25 to 34 years of age
671,male college/grad student between 18 to 24 years of age
672,male executive/managerial between 35 to 44 years of age
673,male writer between 25 to 34 years of age
674,male technician/engineer between 25 to 34 years of age
675,male writer between 25 to 34 years of age
676,male self-employed between 18 to 24 years of age
677,male artist between 50 to 55 years of age
678,male unknown between 25 to 34 years of age
679,male self-employed between 35 to 44 years of age
680,male programmer between 25 to 34 years of age
681,male executive/managerial between 35 to 44 years of age
682,male college/grad student between 25 to 34 years of age
683,male college/grad student between 25 to 34 years of age
684,male college/grad student between 25 to 34 years of age
685,male college/grad student between 25 to 34 years of age
686,male college/grad student between 18 to 24 years of age
687,female executive/managerial between 25 to 34 years of age
688,male retired above 56 years of age
689,female unknown between 50 to 55 years of age
690,male programmer between 25 to 34 years of age
691,male lawyer between 35 to 44 years of age
692,female unknown between 25 to 34 years of age
693,male programmer between 35 to 44 years of age
694,male college/grad student between 18 to 24 years of age
695,female academic/educator between 18 to 24 years of age
696,male programmer between 25 to 34 years of age
697,female doctor/health care between 50 to 55 years of age
698,male college/grad student between 18 to 24 years of age
699,male unknown between 18 to 24 years of age
700,male technician/engineer between 50 to 55 years of age
701,female college/grad student between 18 to 24 years of age
702,male executive/managerial between 35 to 44 years of age
703,female academic/educator above 56 years of age
704,female farmer between 35 to 44 years of age
705,male college/grad student between 25 to 34 years of age
706,male writer between 35 to 44 years of age
707,male executive/managerial between 35 to 44 years of age
708,male unknown between 25 to 34 years of age
709,male unknown between 18 to 24 years of age
710,male writer between 25 to 34 years of age
711,male tradesman/craftsman between 25 to 34 years of age
712,male unknown between 25 to 34 years of age
713,male executive/managerial between 35 to 44 years of age
714,male college/grad student between 18 to 24 years of age
715,male unknown between 18 to 24 years of age
716,male college/grad student between 18 to 24 years of age
717,male lawyer between 25 to 34 years of age
718,male artist between 18 to 24 years of age
719,male unknown under 18 years of age
720,male unknown between 18 to 24 years of age
721,female homemaker between 35 to 44 years of age
722,male programmer between 25 to 34 years of age
723,male programmer between 25 to 34 years of age
724,male retired between 50 to 55 years of age
725,male lawyer above 56 years of age
726,female homemaker between 25 to 34 years of age
727,male lawyer between 35 to 44 years of age
728,male doctor/health care between 25 to 34 years of age
729,male programmer between 35 to 44 years of age
730,male unknown between 25 to 34 years of age
731,male clerical/admin between 45 to 49 years of age
732,male executive/managerial between 25 to 34 years of age
