movie_id,name,cleaned_genre,year,summary
79,"Juror, The ","Drama,Thriller",1996,"A gripping courtroom drama where a juror, played by Demi Moore, fights against the odds to uncover the truth and save an innocent man."
80,"White Balloon, The (Badkonake Sefid ) ",Drama,1995,"""The White Balloon (Badkonake Sefid) is a heartwarming Iranian film about a young girl's quest to buy a goldfish for the Iranian New Year."""
81,Things to Do in Denver when You're Dead ,"Crime,Drama,Romance",1995,"""Things to Do in Denver when You're Dead"" is a gritty crime drama about a group of ex-criminals forced into one last dangerous job."
82,Antonia's Line (Antonia) ,Drama,1995,Antonia's Line is a heartwarming Dutch film that follows the life of a strong-willed woman and her eccentric family in a small rural village.
83,Once Upon a Time... When We Were Colored ,Drama,1995,"""Once Upon a Time... When We Were Colored"" is a heartfelt and nostalgic drama that beautifully captures the joys and struggles of an African-American family in the 1940s South."
84,Last Summer in the Hamptons ,"Comedy,Drama",1995,"""Last Summer in the Hamptons"" is a charming and witty comedy-drama that explores the dynamics of a dysfunctional artistic family during their final summer together."
85,Angels and Insects ,"Drama,Romance",1995,"""Angels and Insects (1995) is a visually stunning period drama exploring love, betrayal, and the complexities of Victorian society through entomology and forbidden relationships."""
86,White Squall ,"Adventure,Drama",1996,"""White Squall (1996) is a thrilling and emotional adventure film based on a true story, depicting the harrowing journey of a group of young sailors facing a deadly storm at sea."""
87,Dunston Checks In ,"Children's,Comedy",1996,"""Dunston Checks In"" is a family comedy about a mischievous orangutan causing chaos in a luxurious hotel, leading to hilarious and heartwarming adventures."
88,Black Sheep ,Comedy,1996,"""Black Sheep (1996) is a hilarious comedy that follows two brothers, one a bumbling politician and the other an accidental troublemaker, on a wild and chaotic campaign trail."""
89,Nick of Time ,"Action,Thriller",1995,"""Nick of Time is a tense thriller that unfolds in real-time, as a man is forced to assassinate a politician to save his kidnapped daughter."""
90,"Journey of August King, The ",Drama,1995,"Set in the 19th century, The Journey of August King is a poignant and beautifully shot drama about a man's life-changing encounter with a runaway slave."
92,Mary Reilly ,"Drama,Thriller",1996,"""Mary Reilly (1996) is a dark and atmospheric thriller that explores the complex relationship between a maid and her enigmatic employer, Dr. Jekyll."""
93,Vampire in Brooklyn ,"Comedy,Romance",1995,"""Vampire in Brooklyn (1995) is a horror-comedy film directed by Wes Craven, following a vampire's quest for love and power in modern-day Brooklyn."""
94,Beautiful Girls ,Drama,1996,"""Beautiful Girls is a heartwarming and relatable coming-of-age film that explores the complexities of love, friendship, and the challenges of adulthood."""
95,Broken Arrow ,"Action,Thriller",1996,"""Broken Arrow (1996) is a high-octane action thriller about a rogue Air Force pilot who steals nuclear weapons, leading to a deadly game of cat and mouse."""
96,In the Bleak Midwinter ,Comedy,1995,In the Bleak Midwinter is a heartwarming comedy-drama about a group of struggling actors who come together to stage a Christmas play in a small village.
97,"Hate (Haine, La) ",Drama,1995,"""Hate (La Haine) is a gritty and intense French film that explores the lives of three friends in the aftermath of a violent riot."""
98,Shopping ,"Action,Thriller",1994,"""Shopping (1994) is a gritty and intense film that explores the dangerous world of joyriding and consumerism, with a standout performance by Jude Law."""
99,Heidi Fleiss: Hollywood Madam ,Documentary,1995,"""Heidi Fleiss: Hollywood Madam"" is a revealing documentary that explores the scandalous life of infamous madam Heidi Fleiss and her connections to high-profile clients in Hollywood."
100,City Hall ,"Drama,Thriller",1996,"""City Hall (1996) is a gripping political drama that explores corruption and morality within the walls of New York City's government."""
101,Bottle Rocket ,Comedy,1996,"""Bottle Rocket (1996) is a quirky and offbeat comedy about three friends who embark on a series of inept heists."""
102,Mr. Wrong ,Comedy,1996,"""Mr. Wrong (1996) is a cringe-worthy romantic comedy that fails to deliver laughs or a compelling storyline, wasting the talents of its cast."""
103,Unforgettable ,Thriller,1996,Unforgettable (1996) is a psychological thriller about a medical researcher who uses experimental technology to relive the memories of murder victims.
104,Happy Gilmore ,Comedy,1996,"""Happy Gilmore is a hilarious sports comedy about an aspiring hockey player turned golfer, played by Adam Sandler, who brings his unconventional style to the golf course."""
105,"Bridges of Madison County, The ","Drama,Romance",1995,"""Bridges of Madison County"" is a heartfelt romantic drama about an unexpected love affair that forever changes the lives of a photographer and a housewife."
106,Nobody Loves Me (Keiner liebt mich) ,"Comedy,Drama",1994,"""Nobody Loves Me (Keiner liebt mich) is a quirky German comedy about a socially awkward woman's quest for love and acceptance."""
107,Muppet Treasure Island ,"Adventure,Children's,Comedy,Musical",1996,"""Muppet Treasure Island is a delightful and hilarious adventure film that combines the charm of the Muppets with a swashbuckling pirate tale."""
108,Catwalk ,Documentary,1995,"""Catwalk (1995) is a captivating documentary that takes viewers behind the scenes of the glamorous and cutthroat world of high fashion modeling."""
109,Headless Body in Topless Bar ,Comedy,1995,"""Headless Body in Topless Bar"" is a gritty crime thriller that follows the shocking aftermath of a violent crime committed in a seedy New York City strip club."
110,Braveheart ,"Action,Drama,War",1995,"""Braveheart, a historical epic directed by Mel Gibson, tells the inspiring story of Scottish warrior William Wallace's fight for freedom against English oppression."""
111,Taxi Driver ,"Drama,Thriller",1976,"Taxi Driver (1976) is a gritty and haunting masterpiece directed by Martin Scorsese, exploring the descent into madness of an alienated Vietnam War veteran turned taxi driver."
112,Rumble in the Bronx ,"Action,Adventure,Crime",1995,"""Rumble in the Bronx is an action-packed martial arts film starring Jackie Chan, filled with thrilling stunts and a dose of humor."""
113,Before and After ,"Drama,Mystery",1996,"""Before and After (1996) is a gripping drama that explores the aftermath of a small-town murder and the impact it has on a family's relationships."""
114,Margaret's Museum ,Drama,1995,"""Margaret's Museum (1995) is a haunting drama set in a mining town, exploring the grief and resilience of a woman haunted by tragedy."""
115,Happiness Is in the Field ,Comedy,1995,"""Happiness Is in the Field"" is a heartwarming French comedy about a farmer who becomes an overnight sensation when his cow wins a prestigious award."
116,Anne Frank Remembered ,Documentary,1995,"""Anne Frank Remembered is a powerful and heartbreaking documentary that sheds light on the life and legacy of Anne Frank during the Holocaust."""
117,"Young Poisoner's Handbook, The ",Crime,1995,"""The Young Poisoner's Handbook"" is a dark and disturbing British film based on a true story, following the twisted journey of a young man obsessed with poison."
118,If Lucy Fell ,"Comedy,Romance",1996,"""If Lucy Fell (1996) is a quirky romantic comedy about two roommates who make a pact to jump off the Brooklyn Bridge if they don't find love by a certain date."""
119,"Steal Big, Steal Little ",Comedy,1995,"""Steal Big, Steal Little"" is a quirky comedy-drama about twin brothers, played by Andy Garcia, navigating a complex inheritance battle in the picturesque California countryside."
120,Race the Sun ,Drama,1996,"""Race the Sun"" is an inspiring and heartwarming drama about a group of underprivileged Hawaiian students who build a solar-powered car to compete in a prestigious race."
121,"Boys of St. Vincent, The ",Drama,1993,"""Boys of St. Vincent"" is a powerful and disturbing drama that explores the dark secrets and abuse within a Catholic orphanage."
122,Boomerang ,"Comedy,Romance",1992,"""Boomerang (1992) is a hilarious romantic comedy that follows a womanizer's journey as he experiences the consequences of his actions."""
123,Chungking Express ,"Drama,Mystery,Romance",1994,"""Chungking Express is a visually stunning and emotionally captivating film that explores love, loneliness, and chance encounters in the bustling streets of Hong Kong."""
124,"Star Maker, The (Uomo delle stelle, L') ",Drama,1995,"""Star Maker"" is a captivating Italian drama that explores the dark side of the entertainment industry through the eyes of a talent scout."
125,Flirting With Disaster ,Comedy,1996,"""Flirting With Disaster is a hilarious and chaotic comedy that follows a man's journey to find his birth parents, leading to unexpected and outrageous encounters."""
126,"NeverEnding Story III, The ","Adventure,Children's,Fantasy",1994,"NeverEnding Story III (1994) is a disappointing sequel that fails to capture the magic of its predecessors, with a weak plot and lackluster performances."
127,"Silence of the Palace, The (Saimt el Qusur) ",Drama,1994,"""Silence of the Palace"" is a haunting Tunisian drama set in the 1960s, exploring the life of a young woman working as a servant in a wealthy family's palace."
128,Jupiter's Wife ,Documentary,1994,"""Jupiter's Wife (1994) is a visually stunning and thought-provoking drama that explores the complexities of love, identity, and the pursuit of happiness."""
129,Pie in the Sky ,"Comedy,Romance",1995,"""Pie in the Sky (1995) is a heartwarming comedy about a small-town baker who dreams of opening his own pie shop, filled with delightful humor and delicious treats."""
130,Angela ,Drama,1995,"""Angela (1995) is a poignant drama that follows a young girl's journey through poverty, loss, and resilience in 1960s Ireland."""
131,Frankie Starlight ,"Drama,Romance",1995,"""Frankie Starlight is a heartfelt drama that explores themes of love, loss, and identity through the life of a unique and inspiring protagonist."""
132,Jade ,Thriller,1995,"""Jade (1995) is a steamy neo-noir thriller that follows a prosecutor investigating a high-profile murder case intertwined with corruption and sexual intrigue."""
133,Nueba Yol ,"Comedy,Drama",1995,"""Nueba Yol"" is a heartwarming and humorous Dominican film that follows the journey of a man trying to make a better life for himself in New York City."
134,Sonic Outlaws ,Documentary,1995,"""Sonic Outlaws (1995) is a thought-provoking documentary that explores the controversial world of copyright infringement and artistic freedom in the digital age."""
135,Down Periscope ,Comedy,1996,"""Down Periscope"" is a hilarious comedy about a misfit submarine crew led by an unconventional captain, navigating through absurd challenges in a high-stakes naval war game."
136,From the Journals of Jean Seberg ,Documentary,1995,"""From the Journals of Jean Seberg"" is a captivating biographical drama that delves into the turbulent life of actress Jean Seberg, exploring her rise to fame and tragic downfall."
137,Man of the Year ,Documentary,1995,"""Man of the Year (1995) is a heartwarming comedy about an ordinary man who accidentally becomes a popular political candidate, bringing unexpected chaos and laughter."""
138,"Neon Bible, The ",Drama,1995,"Neon Bible (1995) is a visually stunning and thought-provoking film that explores the complexities of faith, love, and redemption in a small Southern town."
139,Target ,"Action,Drama",1995,"""Target (1995) is a thrilling action film about a former CIA agent who must protect his family from a group of ruthless assassins."""
140,Up Close and Personal ,"Drama,Romance",1996,"""Up Close and Personal"" is a heartfelt romantic drama that follows the journey of a young journalist as she navigates love and success in the world of broadcast journalism."
141,"Birdcage, The ",Comedy,1996,The Birdcage (1996) is a hilarious and heartwarming comedy about a gay couple who must pretend to be straight for a conservative family gathering.
142,Shadows (Cienie) ,Drama,1988,Shadows (Cienie) is a haunting Polish drama that explores the complexities of love and loss through the intertwined lives of three women.
143,Gospa ,Drama,1995,"""Gospa"" is a heartfelt drama set in war-torn Bosnia, exploring the power of faith and hope as a group of villagers witness a series of miraculous events."
144,"Brothers McMullen, The ",Comedy,1995,"""Brothers McMullen is a heartfelt indie film that explores the complex relationships and personal struggles of three Irish-American brothers."""
145,Bad Boys ,Action,1995,"""Bad Boys is a high-octane action-comedy starring Will Smith and Martin Lawrence as two Miami detectives caught up in a dangerous drug case."""
146,"Amazing Panda Adventure, The ","Adventure,Children's",1995,"""The Amazing Panda Adventure (1995) is a heartwarming family film that follows a young boy's journey to save a panda cub in the Chinese wilderness."""
147,"Basketball Diaries, The ",Drama,1995,Basketball Diaries (1995) is a gritty and powerful coming-of-age drama that follows a talented basketball player's descent into drug addiction and crime.
148,"Awfully Big Adventure, An ",Drama,1995,"An emotionally complex coming-of-age story set in a theater, exploring the dark side of ambition and the painful realities of growing up."
149,Amateur ,"Crime,Drama,Thriller",1994,"""Amateur (1994) is a gripping thriller directed by Hal Hartley, exploring the dark underworld of crime and identity through a mysterious amnesiac protagonist."""
150,Apollo 13 ,Drama,1995,"Apollo 13 (1995) is a gripping and intense true story of the ill-fated NASA mission, showcasing human resilience and ingenuity in the face of adversity."
151,Rob Roy ,"Drama,Romance,War",1995,"""Rob Roy is a gripping historical drama set in 18th century Scotland, showcasing Liam Neeson's powerful performance as the legendary Scottish outlaw."""
152,"Addiction, The ",Horror,1995,"""Addiction"" (1995) is a haunting and thought-provoking exploration of one woman's descent into drug addiction, featuring a mesmerizing performance by Lili Taylor."
153,Batman Forever ,"Action,Adventure,Comedy,Crime",1995,"""Batman Forever (1995) is a visually vibrant but narratively shallow superhero film that struggles to find its footing amidst campy performances and excessive CGI."""
154,Belle de jour ,Drama,1967,"""Belle de jour"" is a provocative French film about a bored housewife who explores her secret desires by working as a high-class prostitute."
155,Beyond Rangoon ,"Drama,War",1995,"Beyond Rangoon (1995) is a gripping drama that follows an American doctor's journey through Myanmar, exploring themes of loss, redemption, and political turmoil."
156,Blue in the Face ,Comedy,1995,"""Blue in the Face (1995) is a quirky and offbeat comedy that explores the eccentric characters and stories of a Brooklyn neighborhood."""
157,Canadian Bacon ,"Comedy,War",1994,"""Canadian Bacon is a satirical comedy directed by Michael Moore, mocking American paranoia towards Canada and their absurd attempts to start a war."""
158,Casper ,"Adventure,Children's",1995,"""Casper (1995) is a heartwarming family film about a friendly ghost who befriends a young girl and helps her reconnect with her deceased father."""
159,Clockers ,Drama,1995,"Clockers (1995) is a gritty crime drama directed by Spike Lee, exploring the lives of drug dealers and the moral dilemmas they face in a Brooklyn housing project."
160,Congo ,"Action,Adventure,Mystery,Sci-Fi",1995,"""Congo (1995) is a thrilling adventure film based on Michael Crichton's novel, following a team's dangerous expedition into the African jungle in search of a lost city and its hidden treasure."""
161,Crimson Tide ,"Drama,Thriller,War",1995,"""Crimson Tide"" is a tense and gripping submarine thriller that explores the clash of ideologies between two commanding officers during a nuclear crisis."
162,Crumb ,Documentary,1994,"""Crumb (1994) is a captivating documentary that delves into the life and art of underground cartoonist Robert Crumb, exploring his eccentricities and controversial work."""
163,Desperado ,"Action,Romance,Thriller",1995,"""Desperado (1995) is a thrilling action-packed film directed by Robert Rodriguez, featuring Antonio Banderas as a guitar-playing gunslinger seeking revenge in Mexico."""
164,Devil in a Blue Dress ,"Crime,Film-Noir,Mystery,Thriller",1995,"""Devil in a Blue Dress"" is a gripping neo-noir crime thriller set in 1940s Los Angeles, featuring Denzel Washington as a reluctant detective caught in a web of corruption and murder."
165,Die Hard: With a Vengeance ,"Action,Thriller",1995,Die Hard: With a Vengeance is an action-packed thrill ride that reunites John McClane with a new partner to stop a terrorist plot in New York City.
166,"Doom Generation, The ","Comedy,Drama",1995,"""Doom Generation"" (1995) is a dark and violent road trip film that explores themes of nihilism, sex, and violence in a twisted and surreal manner."
167,Feast of July ,Drama,1995,"Feast of July (1995) is a haunting period drama about a young woman's journey of love, betrayal, and redemption set in rural England."
168,First Knight ,"Action,Adventure,Drama,Romance",1995,"""First Knight is a romantic adventure set in medieval times, featuring a love triangle between King Arthur, Sir Lancelot, and Lady Guinevere."""
169,Free Willy 2: The Adventure Home ,"Adventure,Children's,Drama",1995,"""Free Willy 2: The Adventure Home (1995) is a heartwarming family film that follows Jesse and his orca friend, Willy, as they face new challenges and fight for freedom."""
170,Hackers ,"Action,Crime,Thriller",1995,"""Hackers (1995) is a thrilling cyberpunk film that follows a group of young hackers as they uncover a dangerous corporate conspiracy."""
171,Jeffrey ,Comedy,1995,"""Jeffrey"" (1995) is a witty and heartfelt romantic comedy that explores love, relationships, and the fear of commitment in the midst of the AIDS crisis."
172,Johnny Mnemonic ,"Action,Sci-Fi,Thriller",1995,"""Johnny Mnemonic (1995) is a cyberpunk action film set in a dystopian future, following a courier with a data implant who becomes hunted by various factions."""
173,Judge Dredd ,"Action,Adventure,Sci-Fi",1995,"""Judge Dredd (1995) is a dystopian action film starring Sylvester Stallone as a futuristic law enforcement officer dispensing justice in a crime-ridden city."""
174,Jury Duty ,Comedy,1995,"Jury Duty (1995) is a comedy film starring Pauly Shore as an eccentric slacker who fakes his way onto a jury, leading to hilarious courtroom antics."
